,BrandName,ProductName,ProductPrice,ProductRating,ProductNoOfratings
146,Titan,"Titan Crest 1.43” AMOLED Smart Watch with BT Calling, AI Morning Briefs, Functional Crown, Health Tracking, Aluminium Body, 100+ Sports Modes, Smartwatch for Men and Women - Black Mesh Strap","5,999",3.8 out of 5 stars,(3.2K)
147,Fastrack,Fastrack Thor Quartz Multifunction Two Toned Black & Red Dial Brown Metal Strap Watch for Guys – NT3286KM01,"4,965",4.3 out of 5 stars,(166)
148,Titan,Classique Analog Blue Dial Men's Watch NM90102SM01/NN90102SM01/NP90102SM01,"10,523",4.3 out of 5 stars,(182)
149,Armani Exchange,Analog Gray Dial Men's Stainless Steel Watch-AX4184,"15,995",3.3 out of 5 stars,(7)
150,Tommy Hilfiger,Quartz Analog Blue Dial Leather Strap Watch for Men,"9,954.",,
151,Fastrack,Fastrack Stunners Quartz Analog Grey Dial Silver Metal Strap Watch for Guys - NT3291SM01​,"1,793",4.2 out of 5 stars,(289)
152,TIMEX,Men Analog Blue-TWHG03SMU10,"2,497.",4.1 out of 5 stars,(315)
153,Fastrack,Fastrack Analog Black Dial Men's Watch NM3147KM01/NN3147KM01,"4,363",4.3 out of 5 stars,(2.3K)
154,Casio,Edifice Men's EF-539D-1AV,"10,995",4.5 out of 5 stars,(677)
155,Casio,Edifice ECB-2200DD-1ADF Black Analog-Digital Dial Black Stainless Steel Band Men's Watch Smartphone Link Tough Solar ED590,"13,996.",4.3 out of 5 stars,(8)
156,Citizen,Analog Green Dial Men's Watch-CA4664-60W,"52,110",4.0 out of 5 stars,(8)
157,Invicta,Invicta Analogue Black Dial Men's Watch-26970,"7,495",4.5 out of 5 stars,(4.5K)
158,Seiko,Analog Men's Watch Stainless Steel,"22,500",4.4 out of 5 stars,(736)
159,Casio,G-Shock GWG-2000-1A5DR Gray IP Analog-Digital Dial Brown Resin Strap Men's Watch Mud Resistant Barometer Altimeter G1177,"65,995",4.1 out of 5 stars,(19)
160,Casio,Edifice ECB-900DB-1ADR Black & Red Analog-Digital Dial Silver Stainless Steel Band Men's Watch Smartphone Link World Time EX499,"16,995",4.5 out of 5 stars,(422)
161,Titan,Titan Mechanical Slimline Automatic Gold Dial Gold Stainless Steel Strap Watch for Men - NT90158YM01,"26,995",3.0 out of 5 stars,(9)
162,Casio,Edifice Chronograph Black Dial Men's Watch - EFR-526L-1AVUDF (EX096),"7,185",4.3 out of 5 stars,(766)
163,Titan,Chronograph Grey Dial Men's Watch NM9308KM01/NN9308KM01/NP9308KM01,"13,825",4.3 out of 5 stars,(370)
